,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
ARI,7,7,7,4,11,6,7,,14,7,7,7,7,7,6,8
ATL,7,8,6,7,7,7,7,4,10,,14,7,7,7,6,8
BAL,7,7,7,7,7,7,,14,4,10,7,7,8,6,7,7
BUF,4,10,7,7,7,7,7,8,,13,7,7,7,7,6,8
CAR,10,7,7,8,6,,14,7,7,4,10,7,7,8,5,8
CHI,8,6,7,7,7,4,11,,13,7,7,7,7,7,6,8
CIN,7,7,4,10,7,7,7,,15,6,7,7,7,7,6,8
CLE,7,7,7,7,7,7,7,7,4,10,7,,14,7,6,8
DAL,7,7,7,7,7,,14,7,7,7,4,7,10,7,8,6
DEN,10,7,7,7,4,11,6,7,7,,14,7,7,7,7,7
DET,7,7,7,7,7,7,7,7,,14,4,10,7,7,8,6
GB,7,7,,14,7,4,10,7,7,7,8,6,7,7,6,8
HOU,7,4,10,7,7,8,6,,14,8,6,7,7,7,6,8
IND,7,7,7,7,7,7,7,7,,14,4,11,6,7,6,8
JAX,7,7,7,,14,7,4,10,7,7,7,7,7,7,6,8
KC,7,7,7,,14,7,7,7,7,7,7,7,4,10,7,7
LAR,6,7,7,7,7,7,,14,7,7,7,7,7,4,9,8
MIA,7,7,4,10,7,7,,14,7,7,7,7,7,6,7,8
MIN,7,7,8,6,,14,8,6,7,7,4,7,10,7,6,8
NO,7,8,6,,14,7,7,7,7,4,10,7,7,7,6,8
NE,7,4,10,7,7,7,7,,14,7,7,7,8,6,6,8
NYG,7,7,8,6,7,7,,14,8,6,7,7,7,7,4,10
NYJ,4,10,7,7,8,6,7,7,7,,14,8,6,6,7,8
OAK,7,7,7,7,7,7,7,7,,15,6,7,4,10,6,8
PHI,8,6,,14,7,7,7,7,7,7,8,6,7,7,4,10
PIT,6,7,7,7,7,7,,14,7,7,4,10,7,7,7,7
LAC,7,7,7,7,4,10,7,7,7,,14,7,7,7,6,8
SEA,7,7,7,,14,7,7,8,6,7,7,7,7,4,9,8
SF,6,7,7,4,10,7,,14,7,7,7,7,7,7,6,8
TB,7,7,7,8,,13,7,4,10,7,7,7,7,7,6,8
TEN,7,7,7,7,7,7,4,10,7,7,7,,14,7,6,8
WAS,6,7,7,7,7,7,7,,14,7,4,10,7,8,5,8